queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description,icon
1,32.5625,107.45,"32.5625,107.45","32.5625,107.45",Asia/Shanghai,8.0,90.7,76.0,82.7,68.5,66.5,0.0,,0.0,,,,,5.2,230.4,1006.9,63.1,10.7,,,0.0,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1,45.42,-122.663,"45.42,-122.663","45.42,-122.663",America/Los_Angeles,-8.0,41.4,23.7,35.0,34.1,87.27,1.06,,58.33,,,,,16.6,213.1,1010.4,56.2,9.1,,,0.0,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
1,-11.1295,-75.3587,"-11.1295,-75.3587","-11.1295,-75.3587",America/Lima,-5.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,
1,28.8378,81.708,"28.8378,81.708","28.8378,81.708",Asia/Kathmandu,5.75,74.9,74.9,74.9,74.0,97.03,0.0,,0.0,,,,,0.0,,996.4,60.0,3.1,,,0.0,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1,10.3336,123.8978,"10.3336,123.8978","10.3336,123.8978",Asia/Manila,8.0,105.1,75.2,88.7,77.3,87.48,0.35,,8.7,,,,,9.2,176.8,1008.0,88.6,6.1,,,0.0,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
1,10.7004,124.9668,"10.7004,124.9668","10.7004,124.9668",Asia/Manila,8.0,87.4,76.4,79.9,75.6,91.17,1.67,,62.5,,,,,6.3,213.3,1007.8,94.1,7.6,,,0.0,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,48.2797,-117.2665,"48.2797,-117.2665","48.2797,-117.2665",America/Los_Angeles,-7.0,42.5,35.0,39.1,38.9,77.38,0.2,,62.5,,,,31.5,20.0,207.0,1001.6,96.3,9.7,,,0.0,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,24.9531,-107.622,"24.9531,-107.622","24.9531,-107.622",America/Mazatlan,-6.0,116.4,91.1,108.4,78.6,65.53,0.0,,0.0,,,,,6.9,,1006.5,71.7,9.1,,,0.0,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1,43.6846,-114.4194,"43.6846,-114.4194","43.6846,-114.4194",America/Boise,-6.0,60.4,43.9,50.4,41.7,71.32,0.09,,16.67,,,,,9.6,,1010.3,16.9,17.9,,,0.0,0.83,Rain,Clear conditions throughout the day with rain.,rain
1,23.89,100.0845,"23.89,100.0845","23.89,100.0845",Asia/Shanghai,8.0,71.2,63.4,66.3,62.0,86.37,0.36,,50.0,,,,,6.6,167.5,1009.6,92.6,14.6,,,0.0,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
